,seed,optimizer,loss,categorical_accuracy,categorical_crossentropy
0,0,Adam,1.2335851192474365,0.6065999865531921,1.2335851192474365
1,1,Adam,2.3026366233825684,0.10000000149011612,2.3026366233825684
2,2,Adam,1.3613660335540771,0.5400999784469604,1.3613660335540771
3,3,Adam,1.4293781518936157,0.506600022315979,1.4293781518936157
4,4,Adam,2.3026463985443115,0.10000000149011612,2.3026463985443115
5,5,Adam,2.302640199661255,0.10000000149011612,2.302640199661255
6,6,Adam,2.3025999069213867,0.10000000149011612,2.3025999069213867
7,7,Adam,2.3027396202087402,0.10000000149011612,2.3027396202087402
8,8,Adam,2.3026950359344482,0.10000000149011612,2.3026950359344482
9,9,Adam,1.5484298467636108,0.5224999785423279,1.5484298467636108
10,0,RMSprop,2.3052732944488525,0.6399999856948853,2.3052732944488525
11,1,RMSprop,2.849318265914917,0.621999979019165,2.849318265914917
12,2,RMSprop,3.096163749694824,0.6370999813079834,3.096163749694824
13,3,RMSprop,2.3082659244537354,0.6399000287055969,2.3082659244537354
14,4,RMSprop,2.2358622550964355,0.6564000248908997,2.2358622550964355
15,5,RMSprop,2.871626138687134,0.6335999965667725,2.871626138687134
16,6,RMSprop,3.2653181552886963,0.6383000016212463,3.2653181552886963
17,7,RMSprop,2.2259597778320312,0.6333000063896179,2.2259597778320312
18,8,RMSprop,2.342073678970337,0.642300009727478,2.342073678970337
19,9,RMSprop,1.993507981300354,0.6327999830245972,1.993507981300354
20,0,SGD,,0.10000000149011612,
21,1,SGD,2.2609403133392334,0.14110000431537628,2.2609403133392334
22,2,SGD,,0.10000000149011612,
23,3,SGD,,0.10000000149011612,
24,4,SGD,,0.10000000149011612,
25,5,SGD,,0.10000000149011612,
26,6,SGD,1.2070167064666748,0.6092000007629395,1.2070167064666748
27,7,SGD,,0.10000000149011612,
28,8,SGD,,0.10000000149011612,
29,9,SGD,2.3026020526885986,0.10000000149011612,2.3026020526885986
