,seed,loss,sparse_categorical_accuracy,sparse_categorical_crossentropy
0,0,0.17489095032215118,0.9490939974784851,0.17489095032215118
1,1,0.18184508383274078,0.9530866146087646,0.18184508383274078
2,2,0.2124241292476654,0.9444870948791504,0.2124241292476654
3,3,0.1696132868528366,0.9553900361061096,0.1696132868528366
4,4,0.23197801411151886,0.9425675868988037,0.23197801411151886
