,seed,loss,categorical_accuracy,categorical_crossentropy
0,0,8.12617015838623,0.21649999916553497,8.12617015838623
1,1,10.97999095916748,0.18140000104904175,10.97999095916748
2,2,10.027717590332031,0.20260000228881836,10.027717590332031
3,3,11.467239379882812,0.15780000388622284,11.467239379882812
4,4,10.846059799194336,0.19009999930858612,10.846059799194336
5,5,11.029082298278809,0.18639999628067017,11.029082298278809
6,6,9.744624137878418,0.20110000669956207,9.744624137878418
7,7,11.36351203918457,0.19370000064373016,11.36351203918457
8,8,11.259622573852539,0.195700004696846,11.259622573852539
9,9,9.55116081237793,0.20020000636577606,9.55116081237793
