,seed,loss,categorical_accuracy,categorical_crossentropy
0,0,1.5674751996994019,0.6310999989509583,1.5674751996994019
1,1,1.176700234413147,0.6259999871253967,1.176700234413147
2,2,2.4667131900787354,0.6427000164985657,2.4667131900787354
3,3,2.215902805328369,0.6499999761581421,2.215902805328369
4,4,1.9584664106369019,0.6693000197410583,1.9584664106369019
5,5,3.642200469970703,0.6270999908447266,3.642200469970703
6,6,2.624819755554199,0.6556000113487244,2.624819755554199
7,7,2.725327730178833,0.6467000246047974,2.725327730178833
8,8,1.7700650691986084,0.6317999958992004,1.7700650691986084
9,9,3.3488898277282715,0.6359999775886536,3.3488898277282715
