,seed,transformation,loss,categorical_crossentropy,categorical_accuracy
0,0,flip,0.29371652007102966,0.29371652007102966,0.932200014591217
1,1,flip,0.27947479486465454,0.27947479486465454,0.9368000030517578
2,2,flip,0.3387255072593689,0.3387255072593689,0.9294000267982483
3,3,flip,0.39733704924583435,0.39733704924583435,0.9251000285148621
4,4,flip,0.35341018438339233,0.35341018438339233,0.9348999857902527
5,5,flip,0.3344336152076721,0.3344336152076721,0.935699999332428
6,6,flip,0.3646468222141266,0.3646468222141266,0.9279000163078308
7,7,flip,0.34617775678634644,0.34617775678634644,0.9361000061035156
8,8,flip,0.3412943482398987,0.3412943482398987,0.9397000074386597
9,9,flip,0.32869940996170044,0.32869940996170044,0.9302999973297119
10,0,rotation,0.32739776372909546,0.32739776372909546,0.9305999875068665
11,1,rotation,0.33586210012435913,0.33586210012435913,0.9344000220298767
12,2,rotation,0.3831494450569153,0.3831494450569153,0.921500027179718
13,3,rotation,0.3372306227684021,0.3372306227684021,0.9319000244140625
14,4,rotation,0.3123641014099121,0.3123641014099121,0.9344000220298767
15,5,rotation,0.326543390750885,0.326543390750885,0.9358999729156494
16,6,rotation,0.2959093749523163,0.2959093749523163,0.9333999752998352
17,7,rotation,0.2715260982513428,0.2715260982513428,0.9380999803543091
18,8,rotation,0.3497699797153473,0.3497699797153473,0.9247000217437744
19,9,rotation,0.3130788505077362,0.3130788505077362,0.9386000037193298
20,0,crop,0.34028199315071106,0.34028199315071106,0.9359999895095825
21,1,crop,0.3406928479671478,0.3406928479671478,0.932699978351593
22,2,crop,0.3762145936489105,0.3762145936489105,0.9279999732971191
23,3,crop,0.33217525482177734,0.33217525482177734,0.9315999746322632
24,4,crop,0.3085646331310272,0.3085646331310272,0.9329000115394592
25,5,crop,0.3585697412490845,0.3585697412490845,0.9333000183105469
26,6,crop,0.2923884391784668,0.2923884391784668,0.9344000220298767
27,7,crop,0.3367450535297394,0.3367450535297394,0.9308000206947327
28,8,crop,0.3100270926952362,0.3100270926952362,0.9350000023841858
29,9,crop,0.352356880903244,0.352356880903244,0.9340000152587891
